Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,Review_clean,,,,,,,,,,,
Beyond Flavours,Imteja7,The place is very good.. 5* to the live music.. She is just superb with beautiful voice.. Food is nice n loved the lightning..??entrance is also very nice..,1,3 Reviews,5/20/2019 14:17,0,place good live music superb beautiful voice food nice love also nice,,,,,,,,,,,
Beyond Flavours,Nisha Gahlawat,"Sonalin has a great voice.. ?? must visit the place once.. became fan of her. The food is good.. 5 star from my side. Live music, lightening everything is just awesome ??",1,"2 Reviews , 1 Follower",5/20/2019 12:45,0,great voice must visit place become fan food good star side live music everything awesome,,,,,,,,,,,
Beyond Flavours,Dharini Hombal,I heard her voice..she is too beautiful with amazing voice ..just love her voice the way she sings ?? became fan of Sonalin Priyadarshini. Good place must visit. The food is also nice..,1,"1 Review , 26 Followers",5/20/2019 12:30,0,hear voice beautiful amazing voice love voice way sing become fan good place must visit food also nice,,,,,,,,,,,
Beyond Flavours,Ankita Sinha,Sonalin is a very good singer in the city.. beautiful face with beautiful face must visit this place .. Beautiful live music.. loved it.. ?? loved the food as well. Very good lightning.,1,"9 Reviews , 5 Followers",5/20/2019 12:25,0,good singer city beautiful face beautiful face must visit place beautiful live music love love food well good lightning,,,,,,,,,,,
Beyond Flavours,Ppck2412,"Food is descent enough. Desert options were also good
Starrers were also tasty.
One bad experience ee had is waiting time even though we booked table prior time.",1,"3 Reviews , 3 Followers",5/20/2019 12:11,0,food descent enough desert option also also anyone bad experience wait time even though book table prior time,,,,,,,,,,,
Beyond Flavours,Pragya Sarda,"Short review: Decent breads and starters, bad Shaam Savera, a little screwed up daal makhni (but should be a one-off case)
Better ambience at night... And importantly good quantity!
I wanted to give a 2.5 but that's not an option ??
Extensive...
Ambience: It's better at night. Friends who had been here during the day didn't like it much. So if you prefer ambience, go at night!
Food! Ordered a Hara Bhara Kebab, Shaam Savera, Daal Makhni, rotis and raita (Yes! I'm a vegetarian ??)
The good part! Quantity ??
I was excited to see Shaam Savera on their menu. But take it from me, you do not want to order it. It is no where close to what it should be. They messed it up real bad, especially the colors.
The daal makhni had big chunks of garlic cloves which spoiled it for me. It wasn't creamy too :(
The breads and raita were decent!
The Hara Bhara Kebabs were decent too, soft! They had an extra outer coating of peanuts. So if you're not a peanut fan on your kebabs, ask them to skip that step ??
Conclusion: It looked like they had made food in a hurry.
Would like to give this place another try hoping that mine was one of the odd cases. If things change, you'll know!",1,"9 Reviews , 8 Followers",5/20/2019 0:35,0,short review decent bread starter bad same savior little screw dal ambience night importantly good quantity want give that option good night friend day do not like much prefer ambience knighthood order bhara kebab same savior dal rata yes vegetarian good part quantity excite see same savior menu take want order close most real bad especially dal big chunk garlic clove spoil be not creamy bread rata decent bhara kebab decent soft extra outer coating peanut you peanut fan kebab ask skip step look like make food like give place another try hope mine one odd case thing change you will know,,,,,,,,,,,
Beyond Flavours,Anindya,"Excellent food and very good service by soumen das..
Ambience was good too with live music. Food was served timely. Decor of the restaurant was amazing as well.",1,"1 Review , 1 Follower",5/19/2019 22:57,0,excellent food good service someone ambience good live music food serve timely restaurant amazing well,,,,,,,,,,,
Beyond Flavours,Santhosh Reddyy,My review for this place would be 5star for the ambeince and the service from the staff which lacks in lot's of place even though the food is good in places like these. Special hey to papiya shuvro!,1,"3 Reviews , 1 Follower",5/19/2019 22:46,0,review place would ambience service staff lack lot place even though food good place like special hey popeye,,,,,,,,,,,
Beyond Flavours,Piyali Mahapatra,"It was a very nice experience. Food was amazing. Friendly staff, with welcoming attitude. Papia was very friendly and accommodating. Good ambiance. I will definitely recommend this place.",1,"3 Reviews , 190 Followers",5/19/2019 22:32,0,nice experience food amaze friendly staff welcome attitude friendly accommodate good definitely recommend place,,,,,,,,,,,
Beyond Flavours,Mehak Malhotra,"Had dinner with my friends. Menu is perfect, something for everyone. Service was awesome and Papia was very accommodating. Good ambience with amazing live music. Will be back definitely!",1,"6 Reviews , 10 Followers",5/19/2019 22:29,0,dinner friend menu perfect something everyone service awesome accommodate good ambience amazing live music back definitely,,,,,,,,,,,
Beyond Flavours,Pradeep Kumar Gupta,Service experience was very good especially by Papiya. Food served was very good and tasty and they served it very well. I would like to visit Beyond again and will recommend it to friends for its food and its reasonable price.,1,1 Review,5/19/2019 21:52,0,service experience good especially pap food serve good tasty serve well would like visit beyond recommend friend food reasonable price,,,,,,,,,,,
Beyond Flavours,Shubham Singh Chauhan,"Service , Food and Ambiance was very nice. Staff was very humble while taking order and while serving food. Live music was like cherry on the cake",1,1 Review,5/19/2019 21:30,0,service food nice staff humble taking order serve food live music like cherry cake,,,,,,,,,,,
Beyond Flavours,Prerna Mund,The food was ?§Ô?.. We ordered banjara tangdi for starter which was the best among all.. Papiya Shuvro was well mannered and her service was best among all.,1,"2 Reviews , 8 Followers",5/19/2019 21:26,0,food order starter well among papaya severe well mannered service well among,,,,,,,,,,,
Beyond Flavours,Pranith Patro,Staff are just polite and responsive. Food is the best part here. And it is better as ambience also awesome here. I met two persons here named Papiya and Shuvro who are the best at their services. Food items i liked here were Basket biryani and Kodi drum sticks. Finally just loved.,1,"2 Reviews , 39 Followers",5/18/2019 21:54,0,staff polite responsive food good part well ambience also awesome meet two person name pip good service food item like basket drum stick finally love,,,,,,,,,,,
Beyond Flavours,Sai Raj Kiran,"I came here with my parents. We ordered for Thai peneer tikka, kaju pulao and veg biryani. The kaju pulao and veg biryani were really good. This is a decent place to go with family. Shubro and papiya served well.",1,"2 Reviews , 1 Follower",5/18/2019 15:54,0,come parent order veneer tikka pale brown pale brown really good decent place family spur papaya serve well,,,,,,,,,,,
Beyond Flavours,Razeen,Well we?ôre new to Hyderabad . And I can for a fact say that it?ôs probably the best place I?ôve eaten a buffet at in Hyderabad period . Especially id like to thank Shurvo and Papiya for their amazing service . Double metha was just too good . Overall a worthwhile experience,1,5 Reviews,5/18/2019 15:53,1,well new fact say probably good place eat buffet period especially like thank sorrow papaya amazing service double media good overall experience,,,,,,,,,,,
Beyond Flavours,Prasanna,"Wonderful place with awesome ambience, best to visit at night to see all the pretty lights and to enjoy some savory foods. Shubro and Papiya were good with service.",1,1 Review,5/18/2019 15:18,0,wonderful place awesome ambience good visit night see pretty light enjoy savory food papaya good service,,,,,,,,,,,
Beyond Flavours,Jeevith Reddy,"Good ambience and great service.We've had buffet for 25 people.The waiters were patient and we even got noodles replaced since the one served in the buffet went bad.
Shoutout to Shubro and Pradeep ,took care of our entire Afternoon.",1,"4 Reviews , 2 Followers",5/18/2019 15:06,0,good ambience great service be buffet people waiter patient even get noodle replace since one serve buffet go spare take care entire afternoon,,,,,,,,,,,
Beyond Flavours,Sugandha Saxena,"My review of the place comes after multiple visits, that have spanned over 4 months. And now I can safely say that it's one of the good places around.
They're located near the Biodiversity signal, above Fabindia. There's ample parking for both two and four wheelers. The ambience is a bit dim after dark, and the seating is divided into various options, including a PDR section.
The menu design is in the shape of a bottle, and the array spans Continental, Chinese and Indian cuisines. Here's the list of things that I have tried, across all my visits

Panko Crumbed Mozzarella Sticks ?§Ô? - Cheese sticks that are coated and fried. Pure cheese bliss.
Veg Lasagna ?§Ô? - This place has one of the good Lasagne in the town.
Crispy Chilli Corn Kernels - The usual favourite, this one has a slightly different presentation here.
Makhmali Paneer Tikka -
Cottage Cheese Shashlik Sizzler
Italian Nachos - Nachos topped with red sauce and cheese, and baked in the dish.
Cheese and Cheese Pizza ?§Ô? - Soft base pizza, loaded with cheese, and a few pieces of green olives.

I cannot stress enough on how I have loved all that I tried here. I have also tried out their lunch buffet. The variety may not be as elaborate as other places, but with the food quality and the discount that they offer for bulk bookings, it is at least a one-time try. But what I really adore here is their mocktails. Beyond Delight is an absolute delight! Also a fan of the Guava and Chilli, and Apple and Kiwi Night drinks.

The staff is ever so courteous. A special mention to Papiya and Shuvro, who were our attendants on the latest visit. The place has Zomato Gold 1+1, which further brings down their reasonable rates. A meal for two would roughly be around 700, that fills not only your tummy, but also you heart!",1,"150 Reviews , 2135 Followers",5/18/2019 14:53,7,review place come multiple visit span month safely say one good place locate near signal there ample parking two four wheeler s ambience bit dim dark seating divide various option include section menu design shape bottle array span continental cuisine herse list thing try across crumble stick cheese stick coat fry pure cheese blessing place one good corn kernel usual one slightly different presentation tikka cottage cheese top red sauce cheese bake cheese pizza soft base pizza load cheese piece green olive can not stress enough love try also try lunch buffet variety may elaborate place food quality discount offer bulk book least onetime try really adore cocktail beyond delight absolute delight also fan guava apple kiwi night drink staff ever courteous special mention popeye attendant late visit place tomato gold bring reasonable rate meal two would roughly around fill time also heart,,,,,,,,,,,
Beyond Flavours,Singh.ibm,Had lunch today at beyond flavors .The food was very Good and delicious and awesome service was provided by Soumen Das & Shuvro. Would highly recommend the restaurant .,1,"2 Reviews , 2 Followers",5/18/2019 14:48,0,lunch today beyond flavor food good delicious awesome service provide das super would highly recommend restaurant,,,,,,,,,,,
Beyond Flavours,Sind Hu,The reason for giving only a 3 star is because of the longlong time wait for the tables. We went on Friday afternoon. We waited almost more than 30mins to get a table. We lost our patience and left for another restaurant as v didn't get a table even aftr waiting for such a long time.I think restaurant management should take this into consideration and try to decrease the waiting time of customer.,1,"61 Reviews , 167 Followers",5/18/2019 14:16,0,reason give star longing time wait table go afternoon wait almost get table lose patience leave another restaurant do not get table even after wait long time think restaurant management take consideration try decrease wait time customer,,,,,,,,,,,
Beyond Flavours,Sameer Singh,"Service is really exceptional. Cheers to Manav, who served us really well. Food was nice too. Loved the ambience too, with nice music playing in the background.",1,1 Review,5/17/2019 22:46,0,service really exceptional cheer serve really well food nice love ambience nice music play background,,,,,,,,,,,
Beyond Flavours,Jaya Phaneendra,"Soumen Das waited our table! Thanks buddy for a great service. Will visit soon!
Soumen Das waited our table! Thanks buddy for a great service. Will visit soon!Soumen Das waited our table! Thanks buddy for a great service. Will visit soon!
Soumen Das waited our table! Thanks buddy for a great service. Will visit soon!",1,"2 Reviews , 1 Follower",5/17/2019 22:17,0,das wait table thank buddy great service visit das wait table thank buddy great service visit das wait table thank buddy great service visit das wait table thank buddy great service visit soon,,,,,,,,,,,
Beyond Flavours,Gokulnath Kunjumon,Papiya Shuvro was great. She helped us get the tables quickly and suggested us the best sizzlers in the menu. Ambience was awesome. She suggested the best table and was very helpful till we were there. Will visit again for the awesome service. You guys should try as well if u plan to take your loved one n give an osm experience then this is the place.,1,1 Review,5/17/2019 21:12,0,pope spare great help get table quickly suggest good sizzle menu ambience awesome suggest good table helpful till visit awesome service guy try well plan take love one give os experience place,,,,,,,,,,,
Beyond Flavours,Raj Verma,"Quite good ambience,liked special restro biryani,must try,like the service Papiya and shuvro,they were really good at der service.will like to visit again.Its nice place to visit specially at nyt tym.food was yum.Should try biryani.",1,"1 Review , 13 Followers",5/17/2019 15:33,0,quite good special fry like service pray really good serviceable like visit against nice place visit specially typhoid should try,,,,,,,,,,,
Beyond Flavours,AKANKSHA GAIKWAD,Pradeep and shubroto were amazing and friendly. Service was awesome n food out of the world.must visit for all people out there. Will visit again,1,"1 Review , 40 Followers",5/17/2019 14:32,0,amazing friendly service awesome food world s visit people visit,,,,,,,,,,,
Beyond Flavours,Divyakant,We visited this place for a colleagues farewell. We had a really great time.Good food and service by Pradeep and Shobro. Will come again later,1,"7 Reviews , 1 Follower",5/17/2019 14:30,0,visit place colleague farewell really great food service short come later,,,,,,,,,,,
Beyond Flavours,Anisha Rajput,"The restaurant has an amazing ambience. Staff is polite and suggest good recommendations on food. If you visit Beyond Flavours sometime, do reach out to Papiya and Shuvro as she can suggest some really good dishes.",1,"2 Reviews , 1 Follower",5/16/2019 22:31,0,restaurant amazing ambience staff polite suggest good recommendation food visit beyond flavour sometime reach prey suggest really good dish,,,,,,,,,,,
Beyond Flavours,Chaitanya Patwari,Excellent food and service. Special mention for Papiya Shuvro. Surprised to see such good quality food being served at such low prices. Ambience is quite good too. Highly recommended.,1,"5 Reviews , 2 Followers",5/16/2019 21:56,0,excellent food service special mention pope spare see good quality food serve low price ambience quite good highly recommend,,,,,,,,,,,
Beyond Flavours,Hasini1998,Papiya and Shuvro as the f&b executives were really courteous and friendly. Thoroughly enjoyed our experience here. Good place for a cute Lil date hehe and for a nice family dinner.,1,1 Review,5/16/2019 21:17,0,pope spare executive really courteous friendly thoroughly enjoy experience good place cute date how nice family dinner,,,,,,,,,,,
Beyond Flavours,Catherene Clement,"This was the first time we visited this restaurant and the experience was good in terms of food, hospitality, service and ambience. Thanks to shubro and papiya for their hospitality",1,"1 Review , 16 Followers",5/16/2019 20:44,0,first time visit restaurant experience good term food hospitality service ambience thanks papaya hospitality,,,,,,,,,,,
Beyond Flavours,Dyagamrahul,"We went for lunch buffet yesterday and took a chance after seeing some good and some average reviews in Zomato.

The spread in buffet is too less, just 3 veg and 3 non veg starters, 2 main course in veg and non veg, just one fried rice and chicken Biryani.
Desserts are ice cream and jamun.

The taste was ok and not to expect too much. Little disappointing when starters are not hot.

Fish fry was decent, Schezwan chicken was ok.
Veg spring rolls were too good.
Big surprise for me is Onion rings as starters ?§£??

Kadai ghost in main course was good but missing that masala flavour.
Chicken was ok. Biryani is average, egg fried rice was good.

For the money we pay, we expect some good food. They use much of colour in food item's.

Suggestion to management is use less coating and less food colouring in starters.

Overall experience is ok, but they can be much better for the amount you pay.",1,"25 Reviews , 24 Followers",5/16/2019 7:13,0,go lunch buffet yesterday take chance see good average review comatose spread buffet less non starter main course non one fry rice chicken ice cream taste expect much little disappointing starter catfish fry decent chicken over spring roll surprise onion ring starter ghost main course good miss average egg fry rice money pay expect good food use much colour food management use less coat less food colour experience much good amount pay,,,,,,,,,,,
Beyond Flavours,Malleshwari Seelam,The place is just beyond beautiful. Ambience is excellent and food is good. The service by Soumen Das is extremely good. Highly recommended place.,1,"3 Reviews , 12 Followers",5/15/2019 21:46,0,place beyond beautiful ambience excellent food good service das extremely good highly recommend place,,,,,,,,,,,
Beyond Flavours,Vibhor Joshi,"I have been to beyond a few times and have tried out a lot of their dishes, it never disappoints.
I would specially recommend their soups, the healthy broth soup and the roasted chicken soup are amazing.
In addition the service is great and our server Papiya was very courteous and prompt. This place has become my go to place for a good dining experience.",1,"2 Reviews , 31 Followers",5/15/2019 21:09,0,beyond time try lot dish never disappointed would specially recommend soup healthy broth soup chicken soup amazing addition service great server courteous prompt place become place good dining experience,,,,,,,,,,,
Beyond Flavours,Vikas Raikwar,If you have time to waste for taste u r most welcome ... the taste was really superb but the service was very very slow..! Dishes were impressively having different flavours which i liked..!,1,"4 Reviews , 2 Followers",5/15/2019 18:33,0,time waste taste welcome taste really superb service slow dish impressively different flavour like,,,,,,,,,,,
Beyond Flavours,Snigdha Jidigam,The food here is good and would add on if you could increase your spread.Ananya was courteous and good at serving..!!Ambience was also good and was peaceful...........................!!!!!!!!!!?•Ô??•Ô??•Ô??•Ô??•Ô??•Ô??•Ô??•Ô??•Ô?,1,"1 Review , 54 Followers",5/15/2019 15:18,0,food good would add could increase courteous good also good,,,,,,,,,,,
Beyond Flavours,Tatarao Vana,"Pardeep and shubrat has served great food and great ambience. Must try !!!

The food is awesome and ambience is too good. A great place to go with a team",1,"1 Review , 33 Followers",5/15/2019 15:07,0,porter separate serve great food great ambience must try food awesome ambience good great place team,,,,,,,,,,,
Beyond Flavours,Oblesh J,"One of the best restaurants in Hyderabad near Gachibowli.. ambiance was good.. Lunch spread was good and was very tasty.
Thank Papiya for her guidance.",1,2 Reviews,5/15/2019 15:02,0,one good restaurant near good lunch spread good papaya guidance,,,,,,,,,,,
Beyond Flavours,Sharmistha Kamat,I really liked the food here it was different from what we get in every other restaurant ..really appreciate the service by Papiya..loved the presentation of the food..,1,"3 Reviews , 14 Followers",5/15/2019 14:49,0,really like food different get every restaurant really appreciate service presentation food,,,,,,,,,,,
Beyond Flavours,Monika,Had a good food and good time at this place.. Ambience was really good and had a nice time... Thanks @shubro for assistance and guidance for having food..,1,"1 Review , 1 Follower",5/15/2019 14:18,0,good food good time place ambience really good nice time thank severe assistance guidance food,,,,,,,,,,,
Beyond Flavours,Hemant Bissa,"Best place to hangout...??
Food is really great...
Thanks Papiya for the service...??
Staff was reallly co-operative...
Ambience is really great, especially PDR(Private Dining Room) is awesome...?????èª",1,1 Review,5/15/2019 14:13,0,good place really pray really really great especially private dining room,,,,,,,,,,,
Beyond Flavours,Tejaswi Rao,"we went for a team lunch, such a worst restaurant.. food was tasteless, service was very slow and Ac was not working. We?ôve requested them multiple times but its of no use. Please don?ôt waste your money and I strictly recommend not to prefer beyond flavours,",0,"1 Review , 24 Followers",5/15/2019 3:26,0,go team lunch bad restaurant food tasteless service slow working request multiple time use please waste money strictly recommend prefer beyond flavour,,,,,,,,,,,
Beyond Flavours,Satyajit Sarangi,"Discovered this place while returning from an despicable day at the office. Walked in, and ordered some food thinking it'd be the same takeout food one could get at any outlet.
But. But, the food turned out to be a saviour. And the way they've designed this place is indeed remarkable. The lights, and the mixed setup would give you a retro feel. Good for a normal group of people who would want to sit and a have a great conversation over food.",1,"3 Reviews , 2 Followers",5/15/2019 0:17,2,discover place return despicable day office walk order food think it take out food one could get outlet food turn way they design place indeed remarkable light mixed setup would give feel good normal group people would want sit great conversation food,,,,,,,,,,,
Beyond Flavours,Gautam Dev,"Second time being here it's really beyond imagination beyond taste and beyond flavours as well. Very courteous staff and very hospitile.
Taste is good but the best part is presentation,,, it's really meeting the standard of a 5 star restaurant .
Very impressed with Mr Ahmed , Pradeep and Mr Dipanajan who are very friendly and took care of us very well. Good job guys keep it up.",1,"47 Reviews , 4734 Followers",5/15/2019 0:07,8,second time really beyond imagination beyond taste beyond flavour well courteous staff good good part presentation really meet standard star restaurant impress friendly take care well good job guy keep,,,,,,,,,,,
Beyond Flavours,Paridhi Mittal,"We ordered Vegetable Lasagne and sizzler chicken tikka, both of which were absolutely delicious. The ambience is amazing and the service is good.",1,"8 Reviews , 4 Followers",5/15/2019 0:00,0,order vegetable sizzle chicken tikka absolutely delicious ambience amazing service good,,,,,,,,,,,
Beyond Flavours,Sathya K,One of the best food experiences I had in hyderabad. The desserts was yum. Appricot pudding is must have. @Ahmed Khan your service was unparalled. Keep up the good work.,1,3 Reviews,5/14/2019 23:12,0,one good food experience dessert apricot pudding must khan service unparalleled keep good work,,,,,,,,,,,
Beyond Flavours,Rashmi Prasad,"Ahmed was a great help in beyond flavour... He may suggest great food as he has good experience. The staters and sizzler was too good. The sauce that was use in the chicken dish was awsome. Nan was very soft even if you take without butter you can easily eat.
Great experience in beyond flavors.",1,"1 Review , 1 Follower",5/14/2019 22:58,0,great help beyond flavour may suggest great food good experience stater sizzle good sauce use chicken dish awesome nan soft even take without butter easily entreat experience beyond flavor,,,,,,,,,,,
Beyond Flavours,Shopharsh29,Had dinner at this place and the attendant was Papiya. The staff is very friendly and the ambiance is awesome. Good variety of food and beverages.,1,1 Review,5/14/2019 21:24,0,dinner place attendant papaya staff friendly awesome good variety food beverage,,,,,,,,,,,
